-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.032,  0.115
-183.801, 80.201, -0.015,  0.148
-183.801, 80.201, -0.012,  0.181
-183.801, 80.201, -0.007,  0.214
-183.801, 80.201, 0.006,  0.247
-183.801, 80.197, 0.151,  0.280
-183.801, 80.185, 0.340,  0.313
-183.800, 80.171, 0.416,  0.346
-183.798, 80.153, 0.546,  0.379
-183.794, 80.127, 0.812,  0.412
-183.788, 80.093, 1.020,  0.445
-183.778, 80.054, 1.171,  0.478
-183.766, 80.013, 1.238,  0.511
-183.752, 79.971, 1.257,  0.544
-183.736, 79.932, 1.224,  0.577
-183.718, 79.894, 1.189,  0.610
-183.697, 79.857, 1.186,  0.643
-183.676, 79.819, 1.227,  0.676
-183.653, 79.778, 1.316,  0.709
-183.629, 79.734, 1.427,  0.742
-183.604, 79.687, 1.521,  0.775
-183.578, 79.638, 1.593,  0.808
-183.553, 79.587, 1.637,  0.841
-183.528, 79.536, 1.656,  0.874
-183.503, 79.484, 1.658,  0.907
-183.478, 79.434, 1.635,  0.940
-183.454, 79.385, 1.601,  0.973
-183.430, 79.337, 1.574,  1.006
-183.405, 79.290, 1.564,  1.039
-183.381, 79.242, 1.579,  1.072
-183.356, 79.193, 1.610,  1.105
-183.331, 79.144, 1.642,  1.138
-183.305, 79.093, 1.660,  1.171
-183.280, 79.043, 1.659,  1.204
-183.256, 78.994, 1.638,  1.237
-183.231, 78.945, 1.605,  1.270
-183.207, 78.897, 1.587,  1.303
-183.183, 78.849, 1.595,  1.336
-183.158, 78.800, 1.631,  1.369
-183.133, 78.750, 1.667,  1.402
-183.108, 78.699, 1.697,  1.435
-183.083, 78.647, 1.705,  1.468
-183.058, 78.596, 1.693,  1.501
-183.034, 78.545, 1.667,  1.534
-183.010, 78.496, 1.644,  1.567
-182.986, 78.446, 1.642,  1.600
-182.962, 78.396, 1.663,  1.633
-182.938, 78.345, 1.689,  1.666
-182.913, 78.293, 1.711,  1.699
-182.889, 78.241, 1.716,  1.732
